sn,serviceName,serviceStatic,currencyId,amount,categoryId
1,HYPOSPADIASIS REPAIR,HYPOSPADIASIS REPAIR,1,800000,9
2,URETHROPLASTY,URETHROPLASTY,1,800000,9
3,CYSTECTOMY+URINARY DIVERSION,CYSTECTOMY+URINARY DIVERSION,1,1200000,9
4,RETROPUBIC PROSTATECTOMY,RETROPUBIC PROSTATECTOMY,1,800000,9
5,RADICAL PROSTATECTOMY,RADICAL PROSTATECTOMY,1,1000000,9
6,TRANSVESICAL PROSTATECTOMY,TRANSVESICAL PROSTATECTOMY,1,700000,9
7,PYELOLITHOTOMY,PYELOLITHOTOMY,1,800000,9
8,PYELOPLASTY,PYELOPLASTY,1,900000,9
9,NEPHROLITHOTOMY,NEPHROLITHOTOMY,1,800000,9
10,NEPHRECTOMY,NEPHRECTOMY,1,800000,9
11,URETEROLITHOTOMY,URETEROLITHOTOMY,1,700000,9
12,PENILE AMPUTATION,PENILE AMPUTATION,1,900000,9
13,SCROTOPLASTY,SCROTOPLASTY,1,900000,9
14,HYDROCELECTOMY,HYDROCELECTOMY,1,500000,9
15,HERNIOTOMY,HERNIOTOMY,1,500000,9
16,OPEN CYSTOLITHOTOMY,OPEN CYSTOLITHOTOMY,1,500000,9
17,ORCHIDOPEXY,ORCHIDOPEXY,1,500000,9
18,CIRCUMCISION,CIRCUMCISION,1,150000,9
19,PENILE BIOPSY,PENILE BIOPSY,1,300000,9
20,TESTICULAR BIOPSY,TESTICULAR BIOPSY,1,500000,9
21,ORCHIDECTOMY,ORCHIDECTOMY,1,300000,9
22,VASECTOMY,VASECTOMY,1,300000,9
23,LYMPH NODE BIOPSY,LYMPH NODE BIOPSY,1,150000,9
24,OPEN SUPRAPUBIC CATHETERISATION,OPEN SUPRAPUBIC CATHETERISATION,1,300000,9
25,PERCUTANEOUS SUPRAPUBIC CATHETERISATION,PERCUTANEOUS SUPRAPUBIC CATHETERISATION,1,300000,9
26,TOTAL ABDOMINAL HYSTERECTOMY,TOTAL ABDOMINAL HYSTERECTOMY,1,700000,9
27,THYROIDECTOMY,THYROIDECTOMY,1,700000,9
28,HERNIORHAPHY,HERNIORHAPHY,1,500000,9
29,COLECTOMY,COLECTOMY,1,800000,9
1,TRANSURETHRAL RESECTION OF THE PROSTATE,TRANSURETHRAL RESECTION OF THE PROSTATE,1,900000,10
2,TRANSURETHRAL RESECTION OF BLADDER TUMOR,TRANSURETHRAL RESECTION OF BLADDER TUMOR,1,900000,10
3,TRANSURETHRAL  BLADDER NECK INCISION ,TRANSURETHRAL  BLADDER NECK INCISION ,1,500000,10
4,TRANSURETHRAL  CYSTOCELE INCISION,TRANSURETHRAL  CYSTOCELE INCISION,1,500000,10
5,RETROGRADE URETERIC CATHERELISATION,RETROGRADE URETERIC CATHERELISATION,1,600000,10
6,TRANSURETHRAL  BLADDER BIOPSY,TRANSURETHRAL  BLADDER BIOPSY,1,500000,10
7,TRANSURETHRAL  BLADDER STONE REMOVAL,TRANSURETHRAL  BLADDER STONE REMOVAL,1,600000,10
8,URETHROCYSTOSCOPY +EUA,URETHROCYSTOSCOPY +EUA,1,500000,10
9,DIRECT VISION URETHROTOMY (DVU),DIRECT VISION URETHROTOMY (DVU),1,600000,10
